algo,avg_eval,avg_report,best_eval,best_report,eval_mode,feasible_rate,gen,gen_best_eval,gen_best_report,generations,pop,ratio_to_remove,report_mode,run_id,seed
ga,3287.55,2829.943333333333,24601,24601,penalized,0.16,0,24601,24601,300,300,0.1,strict,cfg2,2
ga,6361.12,5442.333333333333,25282,25282,penalized,0.25666666666666665,5,25282,25282,300,300,0.1,strict,cfg2,2
ga,23397.81,20528.18666666667,26088,26088,penalized,0.8066666666666666,10,26088,26088,300,300,0.1,strict,cfg2,2
ga,25264.926666666666,23082.27,26965,26965,penalized,0.8766666666666667,15,26965,26965,300,300,0.1,strict,cfg2,2
ga,26317.893333333333,24777.45,26965,26965,penalized,0.92,20,26965,26965,300,300,0.1,strict,cfg2,2
ga,26254.17,24706.833333333332,26965,26965,penalized,0.9166666666666666,25,26965,26965,300,300,0.1,strict,cfg2,2
ga,26496.613333333335,24858.733333333334,26965,26965,penalized,0.9233333333333333,30,26965,26965,300,300,0.1,strict,cfg2,2
ga,26208.996666666666,24168.81333333333,26965,26965,penalized,0.8966666666666666,35,26965,26965,300,300,0.1,strict,cfg2,2
ga,26396.21,24790.98,26965,26965,penalized,0.92,40,26965,26965,300,300,0.1,strict,cfg2,2
ga,26526.18,25510.6,26965,26965,penalized,0.9466666666666667,45,26965,26965,300,300,0.1,strict,cfg2,2
ga,26439.846666666668,24965.02666666667,26965,26965,penalized,0.9266666666666666,50,26965,26965,300,300,0.1,strict,cfg2,2
ga,26405.323333333334,24973.31333333333,26965,26965,penalized,0.9266666666666666,55,26965,26965,300,300,0.1,strict,cfg2,2
ga,26444.58,25323.57,26965,26965,penalized,0.94,60,26965,26965,300,300,0.1,strict,cfg2,2
ga,26365.853333333333,24972.15,26965,26965,penalized,0.9266666666666666,65,26965,26965,300,300,0.1,strict,cfg2,2
ga,26332.846666666668,24507.836666666666,26965,26965,penalized,0.91,70,26965,26965,300,300,0.1,strict,cfg2,2
ga,26123.646666666667,24347.556666666667,26965,26965,penalized,0.9033333333333333,75,26965,26965,300,300,0.1,strict,cfg2,2
