algo,avg_eval,avg_report,best_eval,best_report,eval_mode,feasible_rate,gen,gen_best_eval,gen_best_report,generations,pop,ratio_to_remove,report_mode,run_id,seed
ga,3287.55,2829.943333333333,24601,24601,penalized,0.16,0,24601,24601,300,300,0.1,strict,cfg0,2
ga,12965.4,11313.503333333334,25586,25586,penalized,0.4666666666666667,5,25586,25586,300,300,0.1,strict,cfg0,2
ga,21523.056666666667,15590.036666666667,27289,27289,penalized,0.6,10,27289,27289,300,300,0.1,strict,cfg0,2
ga,23002.133333333335,18035.22,27424,27424,penalized,0.6766666666666666,15,27424,27424,300,300,0.1,strict,cfg0,2
ga,26863.573333333334,24386.84,27767,27767,penalized,0.88,20,27767,27767,300,300,0.1,strict,cfg0,2
ga,26843.736666666668,24196.886666666665,27767,27767,penalized,0.8733333333333333,25,27767,27767,300,300,0.1,strict,cfg0,2
ga,27038.58,25118.5,27767,27767,penalized,0.9066666666666666,30,27767,27767,300,300,0.1,strict,cfg0,2
ga,26833.386666666665,23925.056666666667,27767,27767,penalized,0.8633333333333333,35,27767,27767,300,300,0.1,strict,cfg0,2
ga,26656.343333333334,23203.24,27767,27767,penalized,0.8366666666666667,40,27767,27767,300,300,0.1,strict,cfg0,2
ga,26497.706666666665,22928.766666666666,27767,27767,penalized,0.8266666666666667,45,27767,27767,300,300,0.1,strict,cfg0,2
ga,26970.053333333333,24297.47333333333,27767,27767,penalized,0.8766666666666667,50,27767,27767,300,300,0.1,strict,cfg0,2
ga,27061.603333333333,24761.166666666668,27767,27767,penalized,0.8933333333333333,55,27767,27767,300,300,0.1,strict,cfg0,2
ga,26797.146666666667,23093.6,27767,27767,penalized,0.8333333333333334,60,27767,27767,300,300,0.1,strict,cfg0,2
ga,26902.43666666667,24275.33,27767,27767,penalized,0.8766666666666667,65,27767,27767,300,300,0.1,strict,cfg0,2
ga,26716.63,23732.816666666666,27767,27767,penalized,0.8566666666666667,70,27767,27767,300,300,0.1,strict,cfg0,2
ga,26921.556666666667,24557.136666666665,27767,27767,penalized,0.8866666666666667,75,27767,27767,300,300,0.1,strict,cfg0,2
