algo,avg_eval,avg_report,best_eval,best_report,eval_mode,feasible_rate,gen,gen_best_eval,gen_best_report,generations,pop,ratio_to_remove,report_mode,run_id,seed
ga,3897.37,3468.1866666666665,24301,24301,penalized,0.18666666666666668,0,24301,24301,300,300,0.1,strict,cfg0,1
ga,6416.363333333334,4623.993333333333,24609,24609,penalized,0.20666666666666667,5,24609,24609,300,300,0.1,strict,cfg0,1
ga,23630.553333333333,19599.293333333335,25795,25795,penalized,0.78,10,25795,25795,300,300,0.1,strict,cfg0,1
ga,24400.383333333335,19416.593333333334,26433,26433,penalized,0.7433333333333333,15,26433,26433,300,300,0.1,strict,cfg0,1
ga,24866.47,20768.466666666667,26881,26881,penalized,0.7866666666666666,20,26881,26881,300,300,0.1,strict,cfg0,1
ga,24035.366666666665,19091.746666666666,27329,27329,penalized,0.7133333333333334,25,27329,27329,300,300,0.1,strict,cfg0,1
ga,25848.676666666666,21113.886666666665,27329,27329,penalized,0.7733333333333333,30,27329,27329,300,300,0.1,strict,cfg0,1
ga,26210.77666666667,22841.88,27329,27329,penalized,0.8366666666666667,35,27329,27329,300,300,0.1,strict,cfg0,1
ga,25955.46,21497.81333333333,27329,27329,penalized,0.7866666666666666,40,27329,27329,300,300,0.1,strict,cfg0,1
ga,25689.94,20842.056666666667,27329,27329,penalized,0.7633333333333333,45,27329,27329,300,300,0.1,strict,cfg0,1
ga,26173.736666666668,22479.97,27329,27329,penalized,0.8233333333333334,50,27329,27329,300,300,0.1,strict,cfg0,1
ga,26301.533333333333,23297.453333333335,27329,27329,penalized,0.8533333333333334,55,27329,27329,300,300,0.1,strict,cfg0,1
ga,26353.736666666668,23033.55,27329,27329,penalized,0.8433333333333334,60,27329,27329,300,300,0.1,strict,cfg0,1
ga,26026.53,22552.02,27329,27329,penalized,0.8266666666666667,65,27329,27329,300,300,0.1,strict,cfg0,1
ga,25949.43666666667,21741.643333333333,27329,27329,penalized,0.7966666666666666,70,27329,27329,300,300,0.1,strict,cfg0,1
ga,26458.393333333333,23221.863333333335,27329,27329,penalized,0.85,75,27329,27329,300,300,0.1,strict,cfg0,1
ga,25992.2,22036.233333333334,27329,27329,penalized,0.8066666666666666,80,27329,27329,300,300,0.1,strict,cfg0,1
