algo,avg_eval,avg_report,best_eval,best_report,eval_mode,feasible_rate,gen,gen_best_eval,gen_best_report,generations,pop,ratio_to_remove,report_mode,run_id,seed
ga,3897.37,3468.1866666666665,24301,24301,penalized,0.18666666666666668,0,24301,24301,300,300,0.35,strict,cfg1,1
ga,4014.02,2623.653333333333,25039,25039,penalized,0.11333333333333333,5,25039,25039,300,300,0.35,strict,cfg1,1
ga,18526.663333333334,13646.12,25710,25710,penalized,0.54,10,25710,25710,300,300,0.35,strict,cfg1,1
ga,18617.626666666667,12714.43,25985,25985,penalized,0.49,15,25985,25985,300,300,0.35,strict,cfg1,1
ga,18313.113333333335,11697.73,26433,26433,penalized,0.45,20,26433,26433,300,300,0.35,strict,cfg1,1
ga,20388.79,16173.056666666667,26433,26433,penalized,0.6133333333333333,25,26433,26433,300,300,0.35,strict,cfg1,1
ga,20976.61,16820.94,26433,26433,penalized,0.6366666666666667,30,26433,26433,300,300,0.35,strict,cfg1,1
ga,20612.02666666667,16036.02,26433,26433,penalized,0.6066666666666667,35,26433,26433,300,300,0.35,strict,cfg1,1
ga,21148.396666666667,17357.67,26433,26433,penalized,0.6566666666666666,40,26433,26433,300,300,0.35,strict,cfg1,1
ga,20639.386666666665,16292.983333333334,26433,26433,penalized,0.6166666666666667,45,26433,26433,300,300,0.35,strict,cfg1,1
ga,21211.203333333335,16388.316666666666,27162,27162,penalized,0.6166666666666667,50,27162,27162,300,300,0.35,strict,cfg1,1
ga,21613.263333333332,17836.38,27162,27162,penalized,0.6566666666666666,55,27162,27162,300,300,0.35,strict,cfg1,1
ga,20993.87,16283.31,27162,27162,penalized,0.6,60,27162,27162,300,300,0.35,strict,cfg1,1
ga,21175.69,16297.2,27162,27162,penalized,0.6,65,27162,27162,300,300,0.35,strict,cfg1,1
ga,21435.816666666666,17112.06,27162,27162,penalized,0.63,70,27162,27162,300,300,0.35,strict,cfg1,1
ga,21661.923333333332,17377.05,27162,27162,penalized,0.64,75,27162,27162,300,300,0.35,strict,cfg1,1
ga,22000.546666666665,18180.823333333334,27162,27162,penalized,0.67,80,27162,27162,300,300,0.35,strict,cfg1,1
ga,22417.43666666667,18826.553333333333,27162,27162,penalized,0.6933333333333334,85,27162,27162,300,300,0.35,strict,cfg1,1
ga,21723.753333333334,17825.583333333332,27162,27162,penalized,0.6566666666666666,90,27162,27162,300,300,0.35,strict,cfg1,1
ga,21875.213333333333,17383.68,27162,27162,penalized,0.64,95,27162,27162,300,300,0.35,strict,cfg1,1
ga,22537.206666666665,19003.023333333334,27162,27162,penalized,0.7,100,27162,27162,300,300,0.35,strict,cfg1,1
ga,22012.816666666666,17914.786666666667,27162,27162,penalized,0.66,105,27162,27162,300,300,0.35,strict,cfg1,1
