algo,avg_eval,avg_report,best_eval,best_report,eval_mode,feasible_rate,gen,gen_best_eval,gen_best_report,generations,pop,ratio_to_remove,report_mode,run_id,seed
ga,4240.106666666667,3710.91,23595,23595,penalized,0.20333333333333334,0,23595,23595,300,300,0.35,strict,cfg1,0
ga,3815.0133333333333,2399.3333333333335,24570,24570,penalized,0.11333333333333333,5,24570,24570,300,300,0.35,strict,cfg1,0
ga,7975.41,5265.223333333333,25424,25424,penalized,0.21666666666666667,10,25424,25424,300,300,0.35,strict,cfg1,0
ga,19659.52,13958.603333333333,26361,26361,penalized,0.55,15,26361,26361,300,300,0.35,strict,cfg1,0
ga,18076.23,12222.93,26817,26817,penalized,0.4633333333333333,20,26817,26817,300,300,0.35,strict,cfg1,0
ga,21831.27666666667,17609.803333333333,26817,26817,penalized,0.6566666666666666,25,26817,26817,300,300,0.35,strict,cfg1,0
ga,21692.843333333334,17667.4,26817,26817,penalized,0.66,30,26817,26817,300,300,0.35,strict,cfg1,0
ga,21649.17,17243.623333333333,26817,26817,penalized,0.6433333333333333,35,26817,26817,300,300,0.35,strict,cfg1,0
ga,20339.546666666665,15732.64,26817,26817,penalized,0.5866666666666667,40,26817,26817,300,300,0.35,strict,cfg1,0
ga,21651.833333333332,17699.22,26817,26817,penalized,0.66,45,26817,26817,300,300,0.35,strict,cfg1,0
ga,21355.31333333333,17431.05,26817,26817,penalized,0.65,50,26817,26817,300,300,0.35,strict,cfg1,0
ga,21884.62,17955.81333333333,26817,26817,penalized,0.67,55,26817,26817,300,300,0.35,strict,cfg1,0
ga,21220.45,16447.76,26817,26817,penalized,0.6133333333333333,60,26817,26817,300,300,0.35,strict,cfg1,0
ga,20741.06,16358.37,26817,26817,penalized,0.61,65,26817,26817,300,300,0.35,strict,cfg1,0
ga,21778.753333333334,17699.22,26817,26817,penalized,0.66,70,26817,26817,300,300,0.35,strict,cfg1,0
ga,21965.28,18146.17,26817,26817,penalized,0.6766666666666666,75,26817,26817,300,300,0.35,strict,cfg1,0
