algo,cfg_id,elitism,fitness_mode,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,score_from_conv,seed,selection,source_file,threshold_keep_ratio,tournament_k
ga,37290ac9,2,penalized,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.1,strict,25756.0,1,tournament,ga_A_A006_rtr0.10_pm0.10_prs0.20_init1.0_pc0.7_37290ac9_seed1.csv,0.25,5
ga,37290ac9,2,penalized,300,1.0,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.1,strict,25390.0,2,tournament,ga_A_A006_rtr0.10_pm0.10_prs0.20_init1.0_pc0.7_37290ac9_seed2.csv,0.25,5
ga,30872cdf,2,penalized,300,1.0,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.1,strict,26894.0,0,tournament,ga_A_A007_rtr0.10_pm0.10_prs0.20_init1.0_pc0.9_30872cdf_seed0.csv,0.25,5
ga,30872cdf,2,penalized,300,1.0,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.1,strict,25536.0,1,tournament,ga_A_A007_rtr0.10_pm0.10_prs0.20_init1.0_pc0.9_30872cdf_seed1.csv,0.25,5
ga,30872cdf,2,penalized,300,1.0,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.1,strict,24890.0,2,tournament,ga_A_A007_rtr0.10_pm0.10_prs0.20_init1.0_pc0.9_30872cdf_seed2.csv,0.25,5
ga,06093dcc,2,penalized,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.1,strict,24207.0,0,tournament,ga_A_A008_rtr0.10_pm0.10_prs0.40_init0.2_pc0.7_06093dcc_seed0.csv,0.25,5
ga,06093dcc,2,penalized,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.1,strict,24896.0,1,tournament,ga_A_A008_rtr0.10_pm0.10_prs0.40_init0.2_pc0.7_06093dcc_seed1.csv,0.25,5
ga,06093dcc,2,penalized,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.1,strict,23714.0,2,tournament,ga_A_A008_rtr0.10_pm0.10_prs0.40_init0.2_pc0.7_06093dcc_seed2.csv,0.25,5
ga,c5c9f130,2,penalized,300,0.2,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.1,strict,24207.0,0,tournament,ga_A_A009_rtr0.10_pm0.10_prs0.40_init0.2_pc0.9_c5c9f130_seed0.csv,0.25,5
ga,c5c9f130,2,penalized,300,0.2,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.1,strict,24896.0,1,tournament,ga_A_A009_rtr0.10_pm0.10_prs0.40_init0.2_pc0.9_c5c9f130_seed1.csv,0.25,5
ga,c5c9f130,2,penalized,300,0.2,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.1,strict,23714.0,2,tournament,ga_A_A009_rtr0.10_pm0.10_prs0.40_init0.2_pc0.9_c5c9f130_seed2.csv,0.25,5
ga,1fd82e3f,2,penalized,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.1,strict,25425.0,0,tournament,ga_A_A010_rtr0.10_pm0.10_prs0.40_init1.0_pc0.7_1fd82e3f_seed0.csv,0.25,5
ga,1fd82e3f,2,penalized,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.1,strict,25193.0,1,tournament,ga_A_A010_rtr0.10_pm0.10_prs0.40_init1.0_pc0.7_1fd82e3f_seed1.csv,0.25,5
ga,1fd82e3f,2,penalized,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.1,strict,23943.0,2,tournament,ga_A_A010_rtr0.10_pm0.10_prs0.40_init1.0_pc0.7_1fd82e3f_seed2.csv,0.25,5
ga,4416fb40,2,penalized,300,1.0,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.1,strict,25425.0,0,tournament,ga_A_A011_rtr0.10_pm0.10_prs0.40_init1.0_pc0.9_4416fb40_seed0.csv,0.25,5
ga,4416fb40,2,penalized,300,1.0,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.1,strict,25193.0,1,tournament,ga_A_A011_rtr0.10_pm0.10_prs0.40_init1.0_pc0.9_4416fb40_seed1.csv,0.25,5
ga,4416fb40,2,penalized,300,1.0,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.1,strict,23766.0,2,tournament,ga_A_A011_rtr0.10_pm0.10_prs0.40_init1.0_pc0.9_4416fb40_seed2.csv,0.25,5
ga,0be6847f,2,penalized,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,28507.0,0,tournament,ga_A_A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7_0be6847f_seed0.csv,0.25,5
ga,0be6847f,2,penalized,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,27474.0,1,tournament,ga_A_A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7_0be6847f_seed1.csv,0.25,5
ga,0be6847f,2,penalized,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,28204.0,2,tournament,ga_A_A012_rtr0.10_pm0.20_prs0.00_init0.2_pc0.7_0be6847f_seed2.csv,0.25,5
ga,97099a7a,2,penalized,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,27995.0,0,tournament,ga_A_A013_rtr0.10_pm0.20_prs0.00_init0.2_pc0.9_97099a7a_seed0.csv,0.25,5
ga,97099a7a,2,penalized,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,27986.0,1,tournament,ga_A_A013_rtr0.10_pm0.20_prs0.00_init0.2_pc0.9_97099a7a_seed1.csv,0.25,5
ga,97099a7a,2,penalized,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,27692.0,2,tournament,ga_A_A013_rtr0.10_pm0.20_prs0.00_init0.2_pc0.9_97099a7a_seed2.csv,0.25,5
ga,0f093ffa,2,penalized,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,29369.0,0,tournament,ga_A_A014_rtr0.10_pm0.20_prs0.00_init1.0_pc0.7_0f093ffa_seed0.csv,0.25,5
ga,0f093ffa,2,penalized,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,29454.0,1,tournament,ga_A_A014_rtr0.10_pm0.20_prs0.00_init1.0_pc0.7_0f093ffa_seed1.csv,0.25,5
ga,0f093ffa,2,penalized,300,1.0,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,28507.0,2,tournament,ga_A_A014_rtr0.10_pm0.20_prs0.00_init1.0_pc0.7_0f093ffa_seed2.csv,0.25,5
ga,4dad8632,2,penalized,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,27724.0,0,tournament,ga_A_A015_rtr0.10_pm0.20_prs0.00_init1.0_pc0.9_4dad8632_seed0.csv,0.25,5
ga,4dad8632,2,penalized,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,29006.0,1,tournament,ga_A_A015_rtr0.10_pm0.20_prs0.00_init1.0_pc0.9_4dad8632_seed1.csv,0.25,5
